Lambda,DC,w,height,S11,generation
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.25594960822517215,4.1866333944226344e-07,1.616104745211109e-07,0.36134123543973873,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.5630392443965754e-07,0.351844022867494,9
1.0108997124408804e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.3639647108563771,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1.8277160930883097e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1919965425994553e-07,1.616104745211109e-07,0.3642407035613905,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.2765433198500443e-07,1.616104745211109e-07,0.3653251858686779,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.24639682360806278,4.1866333944226344e-07,1.616104745211109e-07,0.3597474461029142,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.8628024261262452,4.1866333944226344e-07,1.616104745211109e-07,,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,10
1e-07,0.27355655169606075,4.914281014785e-07,1.616104745211109e-07,0.3658307977488732,10
1e-07,0.27355655169606075,3.5786869591050096e-07,1.616104745211109e-07,0.34150456082126124,10
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,10
1e-07,0.27355655169606075,4.2765433198500443e-07,1.616104745211109e-07,0.3653251858686779,10
1e-07,0.27355655169606075,4.914281014785e-07,1.616104745211109e-07,0.3658307977488732,10
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,10
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,10
1e-07,0.27355655169606075,4.349427086159879e-07,1.616104745211109e-07,0.3661598256894611,10
1e-07,0.27355655169606075,4.2765433198500443e-07,1.616104745211109e-07,0.3653251858686779,10
1e-07,0.27355655169606075,4.914281014785e-07,1.616104745211109e-07,0.3658307977488732,10
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,10
1e-07,0.27355655169606075,4.914281014785e-07,1.616104745211109e-07,0.3658307977488732,10
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,10
